code,area,year,domestic_consumers _sales_GWh,domestic_ consumers_number_of_consumers_(thousands),commercial_and_industrial_consumers_sales_GWh,commercial_and_industrial_consumers_number_of_consumers_(thousands),all_consumers_sales_GWh,all_consumers_number_of_consumers_(thousands),sales_per_consumer_domestic_kWh,sales_per_consumer_commercial_and_industrial_kWh
E09000004,Bexley,2013,1260,89,728,1,1989,89,14195,1145335
E09000005,Brent,2013,1564,102,562,1,2126,103,15313,487102
E09000006,Bromley,2013,2075,129,413,1,2488,130,16087,320790
E09000007,Camden,2013,983,80,1501,3,2485,82,12364,542392
E09000001,City of London,2013,32,3,748,1,780,4,12179,761259
E09000008,Croydon,2013,2062,137,447,1,2509,139,15027,323542
E09000009,Ealing,2013,1710,118,743,1,2453,119,14503,502956
E09000010,Enfield,2013,1582,107,545,1,2127,108,14761,477653
E09000011,Greenwich,2013,1152,92,425,1,1576,93,12460,488007
E09000012,Hackney,2013,998,91,341,1,1339,92,10934,342386
E09000013,Hammersmith and Fulham,2013,909,75,580,1,1489,76,12138,587704
E09000014,Haringey,2013,1300,96,332,1,1633,97,13485,307535
E09000015,Harrow,2013,1437,82,420,1,1857,83,17512,439147
E09000016,Havering,2013,1366,95,227,1,1594,96,14341,304151
E09000017,Hillingdon,2013,1457,97,959,1,2416,98,14992,840440
E09000018,Hounslow,2013,1182,83,621,1,1803,84,14203,571323
E09000019,Islington,2013,930,88,610,1,1540,89,10583,478664
E09000020,Kensington and Chelsea,2013,910,71,915,2,1825,73,12854,371728
E09000021,Kingston upon Thames,2013,911,59,256,1,1166,60,15358,315848
E09000022,Lambeth,2013,1423,120,857,1,2280,121,11871,639533
E09000023,Lewisham,2013,1346,109,270,1,1616,110,12351,303644
E09000024,Merton,2013,1086,76,327,1,1413,77,14303,339061
E09000025,Newham,2013,1103,93,1041,1,2144,94,11864,1140467
E09000026,Redbridge,2013,1461,94,245,1,1706,95,15597,295341
E09000027,Richmond upon Thames,2013,1225,78,383,1,1608,79,15764,349159
E09000028,Southwark,2013,1061,102,996,1,2057,104,10364,674715
E09000029,Sutton,2013,1062,71,240,1,1302,72,14881,326121
E09000030,Tower Hamlets,2013,726,77,731,1,1457,78,9391,600075
E09000031,Waltham Forest,2013,1223,92,310,1,1533,93,13226,407822
E09000032,Wandsworth,2013,1558,120,636,1,2195,121,13036,453936
E09000033,Westminster,2013,1004,89,2714,5,3718,94,11228,542565
E09000002,Barking and Dagenham,2014,734,66,251,1,1034,66,11154,496336
E09000003,Barnet,2014,2177,127,601,2,2778,129,17156,283401
E09000004,Bexley,2014,1234,89,745,1,1979,90,13884,1169391
E09000005,Brent,2014,1534,102,585,1,2119,103,15001,499602
E09000006,Bromley,2014,2035,129,413,1,2448,131,15739,315908
E09000007,Camden,2014,966,79,1439,3,2405,82,12158,527917
E09000001,City of London,2014,30,3,816,1,846,4,11773,800392
E09000008,Croydon,2014,2033,138,444,1,2478,140,14711,332830
E09000009,Ealing,2014,1674,118,825,1,2499,119,14198,575892
E09000010,Enfield,2014,1547,107,550,1,2097,109,14399,491684
E09000011,Greenwich,2014,1130,92,1044,1,2174,93,12221,1165976
E09000012,Hackney,2014,978,92,332,1,1310,93,10658,325971
E09000013,Hammersmith and Fulham,2014,888,75,565,1,1453,76,11854,567013
E09000014,Haringey,2014,1270,97,340,1,1610,98,13147,318295
E09000015,Harrow,2014,1420,82,380,1,1799,83,17226,419788
E09000016,Havering,2014,1339,96,230,1,1569,97,13959,306353
E09000017,Hillingdon,2014,1437,98,942,1,2379,99,14719,826157
E09000018,Hounslow,2014,1164,83,646,1,1811,85,13952,584928
E09000019,Islington,2014,910,88,690,1,1600,89,10354,538719
E09000020,Kensington and Chelsea,2014,885,70,942,2,1826,73,12559,381336
E09000021,Kingston upon Thames,2014,895,60,244,1,1139,61,14978,308136
E09000022,Lambeth,2014,1389,120,844,1,2234,121,11596,625548
E09000023,Lewisham,2014,1323,109,283,1,1606,110,12082,321550
E09000024,Merton,2014,1067,76,335,1,1402,77,14004,358089
E09000025,Newham,2014,1086,93,956,1,2042,94,11672,1029074
E09000026,Redbridge,2014,1435,94,247,1,1683,95,15278,303106
E09000027,Richmond upon Thames,2014,1203,78,356,1,1559,79,15448,336766
E09000028,Southwark,2014,1041,102,938,1,1979,104,10177,639562
E09000029,Sutton,2014,1043,71,238,1,1281,72,14590,341869
E09000030,Tower Hamlets,2014,711,77,719,1,1430,78,9217,583214
E09000031,Waltham Forest,2014,1202,93,304,1,1506,94,12960,382413
E09000032,Wandsworth,2014,1527,120,630,1,2157,121,12735,457136
E09000033,Westminster,2014,982,89,2607,5,3589,94,11031,527829
E09000002,Barking and Dagenham,2015,734,66,244,1,978,66,11166,484529
E09000003,Barnet,2015,2171,127,564,2,2735,129,17073,266610
E09000004,Bexley,2015,1242,89,707,1,1949,90,13917,1112809
E09000005,Brent,2015,1533,103,572,1,2104,104,14916,485288
E09000006,Bromley,2015,2060,130,409,1,2470,131,15873,319978
E09000007,Camden,2015,955,79,1395,3,2350,82,12067,518160
E09000001,City of London,2015,30,3,854,1,885,4,11945,856181
E09000008,Croydon,2015,2058,139,433,1,2490,140,14819,327042
E09000009,Ealing,2015,1658,118,747,1,2405,120,14014,530809
E09000010,Enfield,2015,1546,108,530,1,2076,109,14335,481393
E09000011,Greenwich,2015,1135,93,441,1,1576,94,12244,503987
E09000012,Hackney,2015,965,92,340,1,1305,93,10547,330009
E09000013,Hammersmith and Fulham,2015,874,75,591,1,1465,76,11660,594393
E09000014,Haringey,2015,1263,97,315,1,1578,98,13062,298750
E09000015,Harrow,2015,1417,83,344,1,1760,84,17114,379755
E09000016,Havering,2015,1336,97,237,1,1573,97,13839,312980
E09000017,Hillingdon,2015,1424,98,738,1,2161,99,14530,647834
E09000018,Hounslow,2015,1150,84,617,1,1767,85,13757,565215
E09000019,Islington,2015,899,88,639,1,1538,89,10262,510879
E09000020,Kensington and Chelsea,2015,870,70,895,2,1765,73,12407,374580
E09000021,Kingston upon Thames,2015,896,60,245,1,1141,61,14911,328340
E09000022,Lambeth,2015,1386,120,870,1,2256,121,11567,637778
E09000023,Lewisham,2015,1334,110,377,1,1711,111,12166,443562
E09000024,Merton,2015,1072,76,320,1,1392,77,14020,334831
E09000025,Newham,2015,1083,93,985,1,2067,94,11604,1060898
E09000026,Redbridge,2015,1429,94,242,1,1671,95,15202,291571
E09000027,Richmond upon Thames,2015,1181,78,317,1,1498,79,15147,299156
E09000028,Southwark,2015,1040,102,997,1,2037,103,10191,679139
E09000029,Sutton,2015,1048,72,244,1,1293,72,14610,355100
E09000030,Tower Hamlets,2015,702,77,741,1,1443,78,9115,584371
E09000031,Waltham Forest,2015,1197,93,289,1,1485,94,12857,380957
E09000032,Wandsworth,2015,1518,120,615,1,2134,122,12640,443532
E09000033,Westminster,2015,966,88,2498,5,3465,93,10936,513430
E09000002,Barking and Dagenham,2016,738,66,220,0,958,67,11122,449125
E09000003,Barnet,2016,2163,128,525,2,2688,130,16852,255324
E09000004,Bexley,2016,1222,90,695,1,1917,91,13549,1101853
E09000005,Brent,2016,1523,103,537,1,2060,104,14765,465297
E09000006,Bromley,2016,2016,131,385,1,2401,132,15451,299321
E09000007,Camden,2016,947,79,1470,3,2417,82,11966,546236
E09000001,City of London,2016,30,3,773,1,803,4,11680,788215
E09000008,Croydon,2016,2019,140,446,1,2465,141,14462,338483
E09000009,Ealing,2016,1652,119,686,1,2338,120,13916,492138
E09000010,Enfield,2016,1539,108,503,1,2042,110,14192,452756
E09000011,Greenwich,2016,1118,93,467,1,1585,94,12013,534111
E09000012,Hackney,2016,968,92,333,1,1301,93,10520,324138
E09000013,Hammersmith and Fulham,2016,875,75,552,1,1427,76,11658,548633
E09000014,Haringey,2016,1255,97,349,1,1604,98,12965,338543
E09000015,Harrow,2016,1411,83,248,1,1659,84,16913,268358
E09000016,Havering,2016,1330,97,230,1,1559,98,13672,300905
E09000017,Hillingdon,2016,1427,99,678,1,2105,100,14453,603895
E09000018,Hounslow,2016,1158,84,601,1,1759,86,13718,557094
E09000019,Islington,2016,896,88,681,1,1577,89,10222,554041
E09000020,Kensington and Chelsea,2016,867,70,870,2,1737,72,12405,365043
E09000021,Kingston upon Thames,2016,883,60,232,1,1116,61,14662,302299
E09000022,Lambeth,2016,1370,120,832,1,2202,122,11391,606268
E09000023,Lewisham,2016,1314,110,350,1,1665,111,11944,409901
E09000024,Merton,2016,1056,77,303,1,1359,78,13763,318865
E09000025,Newham,2016,1079,93,935,1,2014,94,11554,1046992
E09000026,Redbridge,2016,1429,94,229,1,1658,95,15126,281472
E09000027,Richmond upon Thames,2016,1183,78,312,1,1495,79,15104,298362
E09000028,Southwark,2016,1027,102,990,1,2017,104,10049,664097
E09000029,Sutton,2016,1031,72,231,1,1263,73,14316,329569
E09000030,Tower Hamlets,2016,698,77,744,1,1442,78,9061,587792
E09000031,Waltham Forest,2016,1192,93,280,1,1472,94,12766,363808
E09000032,Wandsworth,2016,1502,120,686,1,2188,122,12476,499296
E09000033,Westminster,2016,957,88,2492,5,3449,93,10849,514054
E09000002,Barking and Dagenham,2017,966,79,1534,3,2499,82,12215,569345
E09000003,Barnet,2017,990,92,380,1,1370,93,10743,368312
E09000004,Bexley,2017,897,75,566,1,1463,76,11940,560526
E09000005,Brent,2017,1283,97,348,1,1631,98,13228,326828
E09000006,Bromley,2017,916,88,679,1,1595,89,10449,544051
E09000007,Camden,2017,883,70,867,2,1750,72,12661,351552
E09000001,City of London,2017,28,2,819,1,847,3,11398,838271
E09000008,Croydon,2017,1404,120,779,1,2183,122,11661,569166
E09000009,Ealing,2017,1347,110,343,1,1690,111,12211,388444
E09000010,Enfield,2017,1106,93,957,1,2063,94,11828,1063323
E09000011,Greenwich,2017,1051,102,1023,1,2075,104,10297,696496
E09000012,Hackney,2017,710,77,794,1,1504,78,9213,611329
E09000013,Hammersmith and Fulham,2017,1545,121,611,1,2156,122,12812,441956
E09000014,Haringey,2017,973,88,2644,5,3617,93,11055,543947
E09000015,Harrow,2017,770,67,220,0,990,67,11532,450801
E09000016,Havering,2017,2212,129,546,2,2758,131,17158,255305
E09000017,Hillingdon,2017,1251,90,699,1,1950,91,13851,1048140
E09000018,Hounslow,2017,1547,103,520,1,2067,105,14973,441495
E09000019,Islington,2017,2062,131,379,1,2442,132,15762,284280
E09000020,Kensington and Chelsea,2017,2070,141,454,1,2524,142,14729,338341
E09000021,Kingston upon Thames,2017,1692,119,721,1,2413,120,14216,502390
E09000022,Lambeth,2017,1589,109,526,1,2115,110,14600,483908
E09000023,Lewisham,2017,1152,93,455,1,1607,94,12353,519906
E09000024,Merton,2017,1442,84,243,1,1685,85,17199,265614
E09000025,Newham,2017,1373,98,235,1,1608,98,14075,306636
E09000026,Redbridge,2017,1462,99,742,1,2204,100,14764,642624
E09000027,Richmond upon Thames,2017,1188,85,574,1,1762,86,14010,530916
E09000028,Southwark,2017,903,61,240,1,1143,61,14918,309507
E09000029,Sutton,2017,1084,77,303,1,1388,78,14078,317103
E09000030,Tower Hamlets,2017,1467,95,241,1,1707,96,15449,287339
E09000031,Waltham Forest,2017,1205,78,308,1,1513,79,15392,284654
E09000032,Wandsworth,2017,1054,72,263,1,1316,73,14571,374056
E09000033,Westminster,2017,1217,94,281,1,1498,95,12989,352943
E09000002,Barking and Dagenham,2018,769,67,209,1,978,67,11545,397930
E09000003,Barnet,2018,2210,129,578,2,2787,132,17070,262872
E09000004,Bexley,2018,1246,90,711,1,1957,91,13796,993009
E09000005,Brent,2018,1548,103,589,1,2137,105,14958,474443
E09000006,Bromley,2018,2067,131,378,1,2445,133,15734,260836
E09000007,Camden,2018,964,79,1598,3,2562,82,12225,587587
E09000001,City of London,2018,28,2,838,1,866,3,11462,872236
E09000008,Croydon,2018,2083,141,483,1,2566,143,14729,339294
E09000009,Ealing,2018,1695,120,731,2,2426,121,14142,474285
E09000010,Enfield,2018,1585,109,530,1,2115,110,14520,475567
E09000011,Greenwich,2018,1155,94,533,1,1687,94,12341,569801
E09000012,Hackney,2018,992,92,390,1,1382,93,10756,364906
E09000013,Hammersmith and Fulham,2018,895,75,580,1,1475,76,11925,540772
E09000014,Haringey,2018,1280,97,368,1,1648,98,13219,329477
E09000015,Harrow,2018,1441,84,249,1,1689,85,17112,268444
E09000016,Havering,2018,1374,98,256,1,1630,99,14028,315376
E09000017,Hillingdon,2018,1463,99,693,1,2156,101,14714,581009
E09000018,Hounslow,2018,1190,85,583,1,1773,86,14029,509956
E09000019,Islington,2018,913,88,673,1,1586,89,10422,522378
E09000020,Kensington and Chelsea,2018,886,70,903,2,1790,72,12752,365459
E09000021,Kingston upon Thames,2018,906,61,243,1,1149,61,14934,304122
E09000022,Lambeth,2018,1408,121,747,1,2156,122,11678,520808
E09000023,Lewisham,2018,1347,110,361,1,1708,111,12213,381751
E09000024,Merton,2018,1084,77,306,1,1390,78,14029,309656
E09000025,Newham,2018,1107,93,944,1,2051,94,11842,1003964
E09000026,Redbridge,2018,1469,95,253,1,1722,96,15413,276014
E09000027,Richmond upon Thames,2018,1207,78,305,1,1512,80,15392,281525
E09000028,Southwark,2018,1052,102,968,2,2020,103,10323,636187
E09000029,Sutton,2018,1055,73,271,1,1326,73,14550,368417
E09000030,Tower Hamlets,2018,713,77,851,1,1564,79,9226,637448
E09000031,Waltham Forest,2018,1218,94,314,1,1532,95,12976,375451
E09000032,Wandsworth,2018,1546,121,626,2,2171,122,12802,416770
E09000033,Westminster,2018,977,88,2613,5,3590,93,11125,537187
E09000002,Barking and Dagenham,2019,788,66,214,1,1002,66,11979,425175
E09000003,Barnet,2019,2240,128,532,2,2772,130,17459,249187
E09000004,Bexley,2019,1256,90,722,1,1979,90,13998,1034745
E09000005,Brent,2019,1580,102,590,1,2170,103,15496,482457
E09000006,Bromley,2019,2088,131,370,1,2458,132,15995,273662
E09000007,Camden,2019,972,77,1528,3,2501,79,12654,591702
E09000001,City of London,2019,31,2,752,1,783,3,13726,852034
E09000008,Croydon,2019,2120,141,458,1,2579,142,15046,327462
E09000009,Ealing,2019,1723,119,682,1,2405,120,14512,469935
E09000010,Enfield,2019,1607,108,567,1,2174,109,14843,514254
E09000011,Greenwich,2019,1173,93,508,1,1681,93,12675,553178
E09000012,Hackney,2019,1008,91,365,1,1373,92,11123,354408
E09000013,Hammersmith and Fulham,2019,904,74,552,1,1457,75,12236,547548
E09000014,Haringey,2019,1296,95,347,1,1642,96,13605,321887
E09000015,Harrow,2019,1467,84,231,1,1698,85,17531,255667
E09000016,Havering,2019,1387,97,241,1,1628,98,14240,306276
E09000017,Hillingdon,2019,1494,99,668,1,2162,100,15092,594022
E09000018,Hounslow,2019,1215,84,562,1,1777,85,14435,513046
E09000019,Islington,2019,927,86,661,1,1588,87,10778,551526
E09000020,Kensington and Chelsea,2019,891,67,841,2,1731,70,13219,352104
E09000021,Kingston upon Thames,2019,914,60,238,1,1152,61,15156,306734
E09000022,Lambeth,2019,1432,119,714,1,2146,121,12021,512553
E09000023,Lewisham,2019,1372,109,377,1,1749,110,12582,422633
E09000024,Merton,2019,1105,77,291,1,1396,78,14421,307517
E09000025,Newham,2019,1130,92,975,1,2105,93,12266,1038956
E09000026,Redbridge,2019,1491,94,250,1,1741,95,15778,282487
E09000027,Richmond upon Thames,2019,1216,78,278,1,1494,79,15620,267444
E09000028,Southwark,2019,1072,100,974,1,2046,101,10733,678985
E09000029,Sutton,2019,1065,72,258,1,1324,73,14775,346100
E09000030,Tower Hamlets,2019,724,76,832,1,1557,77,9537,635332
E09000031,Waltham Forest,2019,1237,93,286,1,1523,94,13330,353926
E09000032,Wandsworth,2019,1565,120,654,1,2218,121,13083,459802
E09000033,Westminster,2019,989,84,2409,5,3398,89,11709,524641
E09000002,Barking and Dagenham,2020,800,65,216,1,1017,66,12260,421053
E09000003,Barnet,2020,2263,128,629,2,2892,130,17696,280637
E09000004,Bexley,2020,1275,90,686,1,1961,90,14236,1014260
E09000005,Brent,2020,1588,102,647,1,2235,103,15630,518575
E09000006,Bromley,2020,2114,130,371,1,2485,132,16199,272746
E09000007,Camden,2020,973,77,1574,2,2547,79,12711,649438
E09000001,City of London,2020,28,2,733,1,761,3,12358,976423
E09000008,Croydon,2020,2142,141,452,1,2594,143,15176,323607
E09000009,Ealing,2020,1731,118,632,1,2363,120,14616,444164
E09000010,Enfield,2020,1649,108,559,1,2208,109,15237,514274
E09000011,Greenwich,2020,1187,92,524,1,1712,93,12893,577470
E09000012,Hackney,2020,1015,90,372,1,1388,91,11249,357382
E09000013,Hammersmith and Fulham,2020,907,74,568,1,1475,75,12306,584190
E09000014,Haringey,2020,1313,95,382,1,1695,96,13862,359978
E09000015,Harrow,2020,1482,84,251,1,1733,85,17731,271410
E09000016,Havering,2020,1413,97,250,1,1663,98,14508,320348
E09000017,Hillingdon,2020,1505,99,687,1,2192,100,15194,623176
E09000018,Hounslow,2020,1219,84,553,1,1772,85,14486,506997
E09000019,Islington,2020,929,86,637,1,1566,87,10861,552263
E09000020,Kensington and Chelsea,2020,878,67,824,2,1702,69,13164,352341
E09000021,Kingston upon Thames,2020,922,60,244,1,1167,61,15291,321631
E09000022,Lambeth,2020,1444,119,721,1,2165,120,12169,521298
E09000023,Lewisham,2020,1387,109,351,1,1738,110,12759,386942
E09000024,Merton,2020,1115,77,297,1,1412,78,14548,305513
E09000025,Newham,2020,1137,92,919,1,2056,93,12391,1004481
E09000026,Redbridge,2020,1514,94,244,1,1758,95,16022,277103
E09000027,Richmond upon Thames,2020,1230,78,280,1,1509,79,15835,270602
E09000028,Southwark,2020,1077,99,956,1,2033,101,10839,718997
E09000029,Sutton,2020,1076,72,300,1,1376,73,14942,406260
E09000030,Tower Hamlets,2020,723,75,806,1,1529,77,9580,644784
E09000031,Waltham Forest,2020,1249,93,279,1,1528,94,13474,343902
E09000032,Wandsworth,2020,1577,119,670,1,2248,121,13219,480872
E09000033,Westminster,2020,978,84,2212,4,3190,88,11679,528683
E09000002,Barking and Dagenham,2021,772,65,228,1,1000,66,11824,436988
E09000003,Barnet,2021,2176,128,541,2,2717,131,16951,248162
E09000004,Bexley,2021,1217,90,678,1,1896,90,13571,958046
E09000005,Brent,2021,1538,101,628,1,2167,103,15157,507050
E09000006,Bromley,2021,2021,131,362,1,2383,132,15456,267931
E09000007,Camden,2021,942,76,1460,2,2403,79,12373,587722
E09000001,City of London,2021,28,2,723,1,751,3,12546,906406
E09000008,Croydon,2021,2070,142,524,1,2595,143,14606,370660
E09000009,Ealing,2021,1667,118,670,1,2337,120,14079,463151
E09000010,Enfield,2021,1578,108,509,1,2087,110,14548,465638
E09000011,Greenwich,2021,1144,92,544,1,1688,93,12415,574799
E09000012,Hackney,2021,979,90,370,1,1349,91,10852,357163
E09000013,Hammersmith and Fulham,2021,875,74,570,1,1444,75,11868,581977
E09000014,Haringey,2021,1258,95,368,1,1626,96,13280,333993
E09000015,Harrow,2021,1431,84,261,1,1692,85,17080,285361
E09000016,Havering,2021,1344,98,246,1,1590,98,13771,310006
E09000017,Hillingdon,2021,1451,99,685,1,2135,100,14609,614070
E09000018,Hounslow,2021,1176,84,523,1,1699,85,13962,489282
E09000019,Islington,2021,895,85,625,1,1520,87,10470,522102
E09000020,Kensington and Chelsea,2021,861,66,891,2,1752,69,12962,368133
E09000021,Kingston upon Thames,2021,883,60,235,1,1119,61,14639,295101
E09000022,Lambeth,2021,1387,119,839,1,2226,120,11701,596918
E09000023,Lewisham,2021,1335,109,348,1,1682,110,12259,385948
E09000024,Merton,2021,1074,77,307,1,1381,78,14005,322372
E09000025,Newham,2021,1103,92,937,1,2039,93,12008,994203
E09000026,Redbridge,2021,1454,94,250,1,1704,95,15396,270043
E09000027,Richmond upon Thames,2021,1177,78,282,1,1459,79,15161,269093
E09000028,Southwark,2021,1044,99,947,1,1991,101,10534,687573
E09000029,Sutton,2021,1034,72,280,1,1314,73,14339,388052
E09000030,Tower Hamlets,2021,706,75,838,1,1544,77,9352,649462
E09000031,Waltham Forest,2021,1194,93,296,1,1490,94,12847,360983
E09000032,Wandsworth,2021,1517,119,675,1,2192,121,12702,471380
E09000033,Westminster,2021,946,83,2418,4,3364,87,11402,544031
